id,repo,language,conflict_type,composition_expected,difficulty,patch_a_files,patch_b_files,shared_files,same_file,both_single_file,patch_a_added_lines,patch_a_deleted_lines,patch_b_added_lines,patch_b_deleted_lines,changed_token_jaccard,task_token_jaccard
click__001,pallets/click,Python,configuration,fail,easy,1,1,1,1,1,10,0,6,6,0.2632,0.2414
click__002,pallets/click,Python,behavioral,fail,easy,1,1,1,1,1,6,1,7,0,0.4000,0.4000
click__003,pallets/click,Python,api_contract,fail,easy,1,1,1,1,1,3,0,6,0,0.1765,0.3176
click__004,pallets/click,Python,behavioral,fail,easy,1,1,1,1,1,15,1,7,0,0.2500,0.2366
typer__001,fastapi/typer,Python,behavioral,fail,easy,1,1,1,1,1,6,1,7,0,0.4000,0.3182
typer__002,fastapi/typer,Python,behavioral,fail,easy,1,1,1,1,1,15,1,7,0,0.2500,0.2561
commander__001,tj/commander.js,JavaScript,behavioral,fail,easy,1,1,1,1,1,11,1,8,0,0.2083,0.3614
commander__002,tj/commander.js,JavaScript,configuration,fail,easy,1,1,1,1,1,3,2,3,1,0.0882,0.2105
commander__003,tj/commander.js,JavaScript,api_contract,fail,easy,1,1,1,1,1,10,1,6,0,0.1739,0.5119
commander__004,tj/commander.js,JavaScript,api_contract,fail,easy,1,1,0,0,1,1,0,1,3,0.0000,0.2871
commander__005,tj/commander.js,JavaScript,behavioral,fail,easy,1,1,0,0,1,1,1,3,3,0.1818,0.2907
commander_control__001,tj/commander.js,JavaScript,control,pass,easy,1,1,0,0,1,9,0,11,0,0.4000,0.3467
httpx__001,encode/httpx,Python,api_contract,fail,easy,1,1,1,1,1,7,1,2,2,0.4667,0.2418
httpx__002,encode/httpx,Python,security_policy,fail,medium,1,1,1,1,1,18,1,8,1,0.3636,0.2381
httpx__003,encode/httpx,Python,state_invariant,fail,easy,1,1,1,1,1,1,1,4,2,0.3158,0.1978
httpx_control__001,encode/httpx,Python,control,pass,easy,1,1,0,0,1,6,0,6,0,0.2857,0.2614
markupsafe__001,pallets/markupsafe,Python,test_assumption,fail,easy,1,1,1,1,1,1,1,3,0,0.3636,0.2159
markupsafe__002,pallets/markupsafe,Python,api_contract,fail,easy,1,1,1,1,1,3,0,1,1,0.2000,0.2111
markupsafe__003,pallets/markupsafe,Python,api_contract,fail,easy,1,1,1,1,1,4,0,1,1,0.0000,0.2877
rich__001,Textualize/rich,Python,behavioral,fail,easy,1,1,1,1,1,10,0,1,2,0.1000,0.2639
rich__002,Textualize/rich,Python,api_contract,fail,easy,1,1,1,1,1,1,0,1,12,0.1500,0.3099
rich__003,Textualize/rich,Python,state_invariant,fail,easy,1,1,1,1,1,2,0,2,10,0.2857,0.3077
rich__004,Textualize/rich,Python,behavioral,fail,easy,1,1,1,1,1,1,1,1,1,0.5714,0.2750
zod__001,colinhacks/zod,TypeScript,api_contract,fail,easy,1,1,0,0,1,0,1,4,2,0.0000,0.2469
zod__002,colinhacks/zod,TypeScript,state_invariant,fail,easy,1,1,1,1,1,1,1,1,1,0.6000,0.3108
zod__003,colinhacks/zod,TypeScript,state_invariant,fail,easy,1,1,1,1,1,1,1,1,1,0.5000,0.3649
zod__004,colinhacks/zod,TypeScript,state_invariant,fail,easy,1,1,1,1,1,1,1,1,1,0.3846,0.3649
zod_control__001,colinhacks/zod,TypeScript,control,pass,easy,1,1,1,1,1,3,0,3,0,0.2857,0.6981
